Title,Author,Height,Publisher,GenreCombined
Let Us C,"Kanetkar, Yashwant",213,Prentice Hall,"computer_science,comic"
"Amulet of Samarkand, The","Stroud, Jonathan",179,Random House,"fiction,objectivism"
Crime and Punishment,"Dostoevsky, Fyodor",180,Penguin,"fiction,comic"
Angels & Demons,"Brown, Dan",178,Random House,"fiction,objectivism"
"Argumentative Indian, The","Sen, Amartya",209,Picador,"nonfiction,legal"
Sea of Poppies,"Ghosh, Amitav",197,Penguin,"fiction,objectivism"
"Idea of Justice, The","Sen, Amartya",212,Penguin,"nonfiction,legal"
"Raisin in the Sun, A","Hansberry, Lorraine",175,Penguin,"fiction,objectivism"
All the President's Men,"Woodward, Bob",177,Random House,"history,objectivism"
"Prisoner of Birth, A","Archer, Jeffery",176,Pan,"fiction,objectivism"
Scoop!,"Nayar, Kuldip",216,HarperCollins,"history,comic"
Ahe Manohar Tari,"Deshpande, Sunita",213,Mauj,"nonfiction,classic"
"Last Mughal, The","Dalrymple, William",199,Penguin,"history,comic"
"Social Choice & Welfare, Vol 39 No. 1",Various,235,Springer,"economics,comic"
Radiowaril Bhashane & Shrutika,"Deshpande, P L",213,Mauj,"nonfiction,novel"
Gun Gayin Awadi,"Deshpande, P L",212,Mauj,"nonfiction,novel"
Aghal Paghal,"Deshpande, P L",212,Mauj,"nonfiction,novel"
Maqta-e-Ghalib,"Garg, Sanjay",221,Mauj,"fiction,objectivism"
Beyond Degrees,Unknown Author,222,HarperCollins,"nonfiction,legal"
Manasa,"Kale, V P",213,Mauj,"nonfiction,novel"
India from Midnight to Milennium,"Tharoor, Shashi",198,Penguin,"history,objectivism"
"World's Greatest Trials, The",Unknown Author,210,Unknown Publisher,"history,objectivism"
"Great Indian Novel, The","Tharoor, Shashi",198,Penguin,"fiction,objectivism"
O Jerusalem!,"Lapierre, Dominique",217,vikas,"history,objectivism"
"City of Joy, The","Lapierre, Dominique",177,vikas,"fiction,objectivism"
Freedom at Midnight,"Lapierre, Dominique",167,vikas,"history,objectivism"
"Winter of Our Discontent, The","Steinbeck, John",196,Penguin,"fiction,comic"
On Education,"Russell, Bertrand",203,Routledge,"philosophy,history"
Free Will,"Harris, Sam",203,FreePress,"philosophy,legal"
Bookless in Baghdad,"Tharoor, Shashi",206,Penguin,"nonfiction,legal"
"Case of the Lame Canary, The","Gardner, Earle Stanley",179,Unknown Publisher,"fiction,objectivism"
"Theory of Everything, The","Hawking, Stephen",217,Jaico,"science,education"
New Markets & Other Essays,"Drucker, Peter",176,Penguin,"economics,objectivism"
Electric Universe,"Bodanis, David",201,Penguin,"science,poetry"
"Hunchback of Notre Dame, The","Hugo, Victor",175,Random House,"fiction,comic"
Burning Bright,"Steinbeck, John",175,Penguin,"fiction,comic"
"Age of Discontuinity, The","Drucker, Peter",178,Random House,"economics,objectivism"
Doctor in the Nude,"Gordon, Richard",179,Penguin,"fiction,objectivism"
Down and Out in Paris & London,"Orwell, George",179,Penguin,"nonfiction,classic"
Identity & Violence,"Sen, Amartya",219,Penguin,"philosophy,education"
Beyond the Three Seas,"Dalrymple, William",197,Random House,"history,comic"
"World's Greatest Short Stories, The",Unknown Author,217,Jaico,"fiction,comic"
Talking Straight,"Iacoca, Lee",175,Unknown Publisher,"nonfiction,classic"
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",171,Vintage,"fiction,comic"
"Phantom of Manhattan, The","Forsyth, Frederick",180,Unknown Publisher,"fiction,comic"
Ashenden of The British Agent,"Maugham, William S",160,Vintage,"fiction,objectivism"
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",172,Vintage,"philosophy,classic"
"Great War for Civilization, The","Fisk, Robert",197,HarperCollins,"history,objectivism"
We the Living,"Rand, Ayn",178,Penguin,"fiction,objectivism"
"Artist and the Mathematician, The","Aczel, Amir",186,HighStakes,"science,misc"
History of Western Philosophy,"Russell, Bertrand",213,Routledge,"philosophy,physics"
Selected Short Stories,Unknown Author,215,Jaico,"fiction,comic"
Rationality & Freedom,"Sen, Amartya",213,Springer,"economics,objectivism"
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",228,Simon&Schuster,"history,objectivism"
Uncommon Wisdom,"Capra, Fritjof",197,Fontana,"nonfiction,legal"
One,"Bach, Richard",172,Dell,"nonfiction,legal"
Karl Marx Biography,Unknown Author,162,Unknown Publisher,"nonfiction,classic"
To Sir With Love,Braithwaite,197,Penguin,"fiction,comic"
Half A Life,"Naipaul, V S",196,Unknown Publisher,"fiction,comic"
"Discovery of India, The","Nehru, Jawaharlal",230,Unknown Publisher,"history,objectivism"
Apulki,"Deshpande, P L",211,Unknown Publisher,"nonfiction,novel"
Unpopular Essays,"Russell, Bertrand",198,Unknown Publisher,"philosophy,physics"
"Deceiver, The","Forsyth, Frederick",178,Unknown Publisher,"fiction,objectivism"
Veil: Secret Wars of the CIA,"Woodward, Bob",171,Unknown Publisher,"history,objectivism"
Char Shabda,"Deshpande, P L",214,Unknown Publisher,"nonfiction,novel"
Rosy is My Relative,"Durrell, Gerald",176,Unknown Publisher,"fiction,objectivism"
"Moon and Sixpence, The","Maugham, William S",180,Unknown Publisher,"fiction,comic"
Political Philosophers,Unknown Author,162,Unknown Publisher,"philosophy,psychology"
"Short History of the World, A","Wells, H G",197,Unknown Publisher,"history,objectivism"
"Trembling of a Leaf, The","Maugham, William S",205,Unknown Publisher,"fiction,objectivism"
Doctor on the Brain,"Gordon, Richard",204,Unknown Publisher,"fiction,objectivism"
Simpsons & Their Mathematical Secrets,"Singh, Simon",233,Unknown Publisher,"science,misc"
Pattern Classification,"Duda, Hart",241,Unknown Publisher,"data_science,objectivism"
From Beirut to Jerusalem,"Friedman, Thomas",202,Unknown Publisher,"history,objectivism"
"Code Book, The","Singh, Simon",197,Unknown Publisher,"science,misc"
"Age of the Warrior, The","Fisk, Robert",197,Unknown Publisher,"history,objectivism"
Final Crisis,Unknown Author,257,Unknown Publisher,"comic,computer_science"
"Killing Joke, The",Unknown Author,283,Unknown Publisher,"comic,computer_science"
Flashpoint,Unknown Author,265,Unknown Publisher,"comic,computer_science"
Batman Earth One,Unknown Author,265,Unknown Publisher,"comic,computer_science"
Crisis on Infinite Earths,Unknown Author,258,Unknown Publisher,"comic,computer_science"
"Numbers Behind Numb3rs, The","Devlin, Keith",202,Unknown Publisher,"science,misc"
Superman Earth One - 1,Unknown Author,259,Unknown Publisher,"comic,computer_science"
Superman Earth One - 2,Unknown Author,258,Unknown Publisher,"comic,computer_science"
Justice League: Throne of Atlantis,Unknown Author,258,Unknown Publisher,"comic,computer_science"
